{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 931, 'title': 'stability equations for conical shells .'}
{'docnum': 932, 'title': 'buckling of circular cones under axial compression .'}
{'docnum': 933, 'title': 'the characteristics of roughness from insects as observedfor two-dimensional, incompressible flow past airfoils .'}
{'docnum': 934, 'title': 'stability of cylindrical and conical shells of circularcross section, with simultaneous action of axial compressionand external normal pressure .'}
{'docnum': 935, 'title': 'buckling of thin single- and multi-layer conical and cylindricalshells with rotationally symmetric stresses .'}
{'docnum': 936, 'title': 'a donnell-type theory for asymmetrical bending andbuckling of thin conical shells .'}
{'docnum': 937, 'title': 'on the buckling of truncated conical shells in torsion .'}
{'docnum': 938, 'title': 'calculations for the stability of thin conical frustumssubjected to external uniform hydrostatic pressureand axial loads .'}
{'docnum': 939, 'title': 'some explicit solutions for constant-temp . magnetogasdynamic channel flow .'}
{'docnum': 940, 'title': 'of a turbulent free shear layer .'}
{'docnum': 941, 'title': 'viscous compressible and incompressible flow in slenderchannels .'}
{'docnum': 942, 'title': 'secondary gas injection in a conical rocket nozzle .'}
{'docnum': 943, 'title': 'compressible free shear layer with finite initial thickness .'}
{'docnum': 944, 'title': 'one dimensional heat conduction through the skin ofa vehicle upon entering a planetary atmosphere at constantvelocity and entry angle .'}
{'docnum': 945, 'title': 'method for design of pump impellers using a high speeddigital computer .'}
{'docnum': 946, 'title': 'exploratory investigation of the effect of a forwardfacing jet on the bow shock of a blunt body in a machnumber 6 free stream .'}
{'docnum': 947, 'title': 'static aerodynamic characteristics of a short blunt10 semi-vertex angle cone at a mach number of 15 inhelium .'}
{'docnum': 948, 'title': 'panel flutter tests on full scale x-15 lower verticalstabilizer at mach number of 3. 0.'}
{'docnum': 949, 'title': 'charts for equilibrium flow properties of air in hypervelocitynozzles .'}
{'docnum': 950, 'title': 'comparison of theoretical and experimental creep bucklingtimes of initially straight, centrally loaded columns .'}
{'docnum': 951, 'title': 'a unified theory of creep buckling under normal loads .'}
{'docnum': 952, 'title': 'study of creep collapse of a long circular cylindricalshell under various distributed force systems .'}
{'docnum': 953, 'title': 'vibrations of infinitely long cylindrical shells underinitial stress .'}
{'docnum': 954, 'title': 'analysis of stress at several junctions in pressurizedshells .'}
{'docnum': 955, 'title': 'the membrane approach to bending instability of pressureizedcylindrical shells .'}
{'docnum': 956, 'title': 'elastic stability of simply supported corrugated coresand- wich cylinders .'}
{'docnum': 957, 'title': 'axisymmetric snap buckling of conical shells .'}
{'docnum': 958, 'title': 'air scooping vehicle .'}
{'docnum': 959, 'title': 'heat transfer in separated flows .'}
{'docnum': 960, 'title': 'investigation of free turbulent mixing .'}
{'docnum': 961, 'title': 'compressible two dimensional jet mixing at constantpressure .'}
{'docnum': 962, 'title': 'contributions to the theory of heat transfer througha laminar boundary layer .'}
{'docnum': 963, 'title': 'a variational principle for convection of heat .'}
{'docnum': 964, 'title': 'on the theory of discharge coefficients for round entrance flowmetersand venturis .'}
{'docnum': 965, 'title': 'analytic determination of discharge coefficients of flow nozzles .'}
{'docnum': 966, 'title': 'on fully developed channel flows,. some solutions and limitations, andeffects of compressibility, variable properties, and body forces .'}
{'docnum': 967, 'title': 'a study of laminar compressible viscous pipe flow accelerated by anaxial body force, with application to magnetogasdynamics .'}
{'docnum': 968, 'title': 'rocket propulsion systems for interplanetary flight .'}
{'docnum': 969, 'title': 'on the use of side-jets as control devices .'}
{'docnum': 970, 'title': 'loads induced on a flat plate wing by an air jet exhausting perpendicularlythrough the wing and normal to a free-stream flow of machnumber 2.0 .'}
{'docnum': 971, 'title': 'surface pressure distributions with a sonic jet normal to adjacent flatsurfaces at mach 2.92 to 6.4 .'}
{'docnum': 972, 'title': 'aerodynamic interaction effects ahead of a sonic jet exhausting perpendicularlyform a flat plate into a mach number 6 free stream .'}
{'docnum': 973, 'title': 'interaction effects produced by jet exhausting laterally near base ofogive-cylinder model in supersonic main stream .'}
{'docnum': 974, 'title': 'approximate analysis of thrust vector control by fluid injection .'}
{'docnum': 975, 'title': 'one dimensional flows of an imperfect diatomic gas .'}
{'docnum': 976, 'title': 'turbulent diffusion in the wake of a blunt nosed bodyat hypersonic speeds .'}
{'docnum': 977, 'title': 'concerning some solutions of the boundary layer equationsin hydrodynamics .'}
{'docnum': 978, 'title': 'temperature profiles inafinite solid with moving boundary .'}
{'docnum': 979, 'title': 'correlation of base pressure and wake structure ofsharp and blunt-nose cones with reynolds number basedon boundary layer momentum thickness .'}
{'docnum': 980, 'title': 'a method of computing the transient temperature of thick walls fromarbitrary variation of adiabatic-wall temperature and heat-transfer coefficient.'}
{'docnum': 981, 'title': 'solutions to the heat-conduction equation with time dependent boundaryconditions .'}
{'docnum': 982, 'title': 'the temperature history in a thick skin subjected to laminar heatingduring entry into the atmosphere .'}
{'docnum': 983, 'title': "addendum to 'heat transfer to satellite vehicles re-entering the atmosphere."}
{'docnum': 984, 'title': 'method of analysis for compressible flow through mixed-flow centrifugalimpellers of arbitrary design .'}
{'docnum': 985, 'title': 'a rapid approximate method for the design of hub shroud profiles ofcentrifugal impellers of given blade shape .'}
{'docnum': 986, 'title': 'design and test of mixed-flow impellers, viii - comparison of experimentalresults for three impellers with shroud redesigned by rapidapproximate method .'}
{'docnum': 987, 'title': 'a general theory of three dimensional flow in subsonic and supersonicturbo-machines of axial-radial-and mixed-flow types .'}
{'docnum': 988, 'title': 'nonviscous flow through a pump impeller on a blade-to-blade surface ofrevolution .'}
{'docnum': 989, 'title': 'incompressible nonviscous blade-to-blade flow through a pump rotor withsplitter vanes .'}
{'docnum': 990, 'title': 'a rapid approximate method for determining velocity distribution on impellerblades of centrifugal compressors .'}
{'docnum': 991, 'title': 'wing-flow study of pressure drag reduction at transonic speed by projectinga jet of air from the nose of a prolate spheroid of finenessratio 6 .'}
{'docnum': 992, 'title': 'the effects of a small jet of air exhausting from the nose of a bodyof revolution in supersonic flow .'}
{'docnum': 993, 'title': ' the extent of the jet interference flow fields .jet effects on cylindrical afterbodies housing sonic and supersonicnozzles which exhaust against a supersonic stream at angles of attackfrom 90degree to 180degree .'}
{'docnum': 994, 'title': 'investigation of a retrocket exhausting from the nose of a blunt bodyinto a supersonic free stream .'}
{'docnum': 995, 'title': ''}
{'docnum': 996, 'title': 'extension of boundary layer separation criteria toa m=6 .5 utilizing flat plates with forward-facingsteps .'}
{'docnum': 997, 'title': 'experimental and theoretical studies of axisymmetric free jets .'}
{'docnum': 998, 'title': 'equations, tables and charts for compressible flow .'}
{'docnum': 999, 'title': 'static aerodynamic characteristics of short blunt coneswith various nose and base cone angles at mach numbersof 0. 6 to 5. 5 and angles of attack to 180 .'}
{'docnum': 1000, 'title': 'free-flight measurements of the static and dynamicstability and drag of a 10 blunted cone at mach numbers3 .5 and 8 .5 .'}
{'docnum': 1001, 'title': 'wind tunnel investigation of the static and dynamic stability characteristicsof a 10degree semivertex angle blunted cone .'}
{'docnum': 1002, 'title': 'preliminary investigations of spiked bodies at hypersonic speeds .'}
{'docnum': 1003, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1004, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1005, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1006, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1007, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1008, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1009, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1010, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1011, 'title': 'free-flight measurements of the static and dynamic'}
{'docnum': 1012, 'title': 'principles of creep buckling weight-strength analysisof aircraft structures .'}
{'docnum': 1013, 'title': 'principles of creep buckling weight-strength analysis'}
{'docnum': 1014, 'title': 'principles of creep buckling weight-strength analysis'}
{'docnum': 1015, 'title': 'principles of creep buckling weight-strength analysis'}
{'docnum': 1016, 'title': 'principles of creep buckling weight-strength analysis'}
{'docnum': 1017, 'title': 'note on creep buckling of columns .'}
{'docnum': 1018, 'title': 'note on creep buckling of columns .'}
{'docnum': 1019, 'title': 'note on creep buckling of columns .'}
{'docnum': 1020, 'title': 'note on creep buckling of columns .'}
{'docnum': 1021, 'title': 'note on creep buckling of columns .'}
{'docnum': 1022, 'title': 'note on creep buckling of columns .'}
{'docnum': 1023, 'title': 'note on creep buckling of columns .'}
{'docnum': 1024, 'title': 'note on creep buckling of columns .'}
{'docnum': 1025, 'title': 'note on creep buckling of columns .'}
{'docnum': 1026, 'title': 'note on creep buckling of columns .'}
{'docnum': 1027, 'title': 'note on creep buckling of columns .'}
{'docnum': 1028, 'title': 'note on creep buckling of columns .'}
{'docnum': 1029, 'title': 'note on creep buckling of columns .'}
{'docnum': 1030, 'title': 'note on creep buckling of columns .'}
{'docnum': 1031, 'title': 'note on creep buckling of columns .'}
{'docnum': 1032, 'title': 'on the conservativeness of various distributed force systems .'}
{'docnum': 1033, 'title': 'the design of tubes under uniform external pressure on thebasis of assumed inaccuracies .'}
{'docnum': 1034, 'title': 'note on creep buckling of columns .'}
{'docnum': 1035, 'title': 'note on creep buckling of columns .'}
{'docnum': 1036, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1037, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1038, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1039, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1040, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1041, 'title': 'analysis of stresses in the elements of shell structure .'}
{'docnum': 1042, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1043, 'title': 'on transverse vibrations of thin, shallow elastic shells .'}
{'docnum': 1044, 'title': 'on the theory of thin elastic shells .'}
{'docnum': 1045, 'title': 'the bending strength of pressurized cylinders .'}
{'docnum': 1046, 'title': 'the bending strength of pressurized cylinders .'}
{'docnum': 1047, 'title': 'the bending strength of pressurized cylinders .'}
{'docnum': 1048, 'title': 'a small deflection theory for curved sandwich plates .'}
{'docnum': 1049, 'title': 'elastic constants for corrugated core sandwich plates .'}
{'docnum': 1050, 'title': 'compressive buckling of simply supported curved platesand cylinders of sandwich construction .'}
{'docnum': 1051, 'title': 'the stability of thin-walled unstiffened circular cylindersunder axial compression including the effects of internalpressure .'}
{'docnum': 1052, 'title': 'recent advances in the buckling of thin shells .'}
{'docnum': 1053, 'title': 'spherical cap snapping .'}
{'docnum': 1054, 'title': 'iterative solutions for the non-linear bending of circularplates .'}
{'docnum': 1055, 'title': 'non-linear bending and buckling of circular plates .'}
{'docnum': 1056, 'title': 'axisymmetric large deflections of circular plates subjectedto thermal and mechanical load .'}
{'docnum': 1057, 'title': 'the uniform section disk spring .'}
{'docnum': 1058, 'title': 'the conical disk spring .'}
{'docnum': 1059, 'title': 'the nonlinear conical spring .'}
{'docnum': 1060, 'title': 'buckled states of circular plates .'}
{'docnum': 1061, 'title': 'turbulent mixing of a rocket exhaust jet with a supersonic stream includingchemical reactions .'}
{'docnum': 1062, 'title': 'an experimental and theoretical investigation of second-orderwing-body interference at high mach number .'}
{'docnum': 1063, 'title': 'on obtaining solutions to the navier-stokes equationswith high speed digital computers .'}
{'docnum': 1064, 'title': 'propeller slipstream effects as determined from wingpressure distribution on a large-scale six-propellervtol model at static thrust .'}
{'docnum': 1065, 'title': 'a free-flight investigation of ablation of a bluntbody to a mach number of 13 .1.'}
{'docnum': 1066, 'title': 'wind tunnel measurements of aerodynamic damping derivativesof a launch vehicle vibrating in free-free bendingmodes at mach numbers from 0. 70 to 2. 87 and comparisonswith theory .'}
{'docnum': 1067, 'title': 'plastic stability theory of geometrically orthotropicplates and cylindrical shells .'}
{'docnum': 1068, 'title': 'instability analysis of cylindrical shells under hydrostaticpressure .'}
{'docnum': 1069, 'title': 'design and testing of honeycomb sandwich cylindersunder axial compression .'}
{'docnum': 1070, 'title': 'buckling of orthotropic and stiffened conical shells .'}
{'docnum': 1071, 'title': 'stability of thin torispherical shells under uniforminternal pressure .'}
{'docnum': 1072, 'title': 'ignition and combustion in a laminar mixing zone .'}
{'docnum': 1073, 'title': 'a practical method for numerical evaluation of solutionsof partial differential equations of the heat-conductiontype .'}
{'docnum': 1074, 'title': 'theoretical and experimental investigation of second-order supersonicwing-body interference .'}
{'docnum': 1075, 'title': 'an experimental and theoretical investigation of second-order supersonic wing-body interference, for a non-lifting body with wings at incidence'}
{'docnum': 1076, 'title': 'an approximate method for determining the displacement effects andviscous drag of laminar boundary layers in two-dimensional hypersonicflow .'}
{'docnum': 1077, 'title': 'a method of solution with tabulated results for the attached obliqueshock wave system for surfaces at various angles of attack, sweep, anddihedral in an equilibrium real gas including the atmosphere .'}
{'docnum': 1078, 'title': 'the steady flow of a viscous fluid past a circular cylinder at reynoldsnumbers 40 and 44 .'}
{'docnum': 1079, 'title': 'finite difference formulae for the square lattices .'}
{'docnum': 1080, 'title': 'viscous flow round a sphere at low reynolds numbers . /l40/'}
{'docnum': 1081, 'title': 'numerical solution of the navier-stokes equations for the flow around acircular cylinder at reynolds number 40 .'}
{'docnum': 1082, 'title': 'the flow past pitot tube at low reynolds numbers, part 1-dash the numericalsolution of the navier-stokes equations for steady viscousaxisymmetric flow, part 2-dash the effects of viscosity and orificesize on a pitot tube at low reynolds numbers .'}
{'docnum': 1083, 'title': 'an investigation of fluid flow in two dimensions .'}
{'docnum': 1084, 'title': 'the flow past circular cylinders at low speeds .'}
{'docnum': 1085, 'title': 'note on the convergence of numerical solutions of the navier-stokesequations .'}
{'docnum': 1086, 'title': 'a note on the numerical solution of fourth order differentialequations .'}
{'docnum': 1087, 'title': 'convergence rates of iterative treatments of partial differential equations.'}
{'docnum': 1088, 'title': 'iterative methods for solving partial difference equations of elliptictype .'}
{'docnum': 1089, 'title': 'aerodynamic characteristics of propeller-driven vtolaircraft .'}
{'docnum': 1090, 'title': 'pressure distribution and force measurements on a vtoltilting wing-propeller model . pt .ii, analysis ofresults .'}
{'docnum': 1091, 'title': 'data from a static thrust investigation of a largescale general research vtol-stol model in ground effect .'}
{'docnum': 1092, 'title': 'wing-nacelle-propeller interference for wings of variousspans . force and pressure distribution tests .'}
{'docnum': 1093, 'title': 'induced interference effects on jet and buried-fanvtol configurations in transition .'}
{'docnum': 1094, 'title': 'investigation of the effects of ground proximity andpropeller position on the effectiveness of a wing withlarge chord slotted flaps in redirecting propellerslipstream downward for vertical take-off .'}
{'docnum': 1095, 'title': 'investigation of effectiveness of large-chord slottedflaps in deflecting propeller slipstreams downwardfor vertical take-off and low-speed flight .'}
{'docnum': 1096, 'title': 'qualitative measurements of the effective heats ofablation of several materials in supersonic air jetsat stagnation temperature up to 11,000 f.'}
{'docnum': 1097, 'title': 'experimental ablation cooling .'}
{'docnum': 1098, 'title': 'an experimental investigation of ablating materialat low and high enthalpy potentials .'}
{'docnum': 1099, 'title': 'a theoretical study of stagnation point ablation .'}
{'docnum': 1100, 'title': 'an analytical investigation of ablation .'}
{'docnum': 1101, 'title': 'a sensor for obtaining ablation rates .'}
{'docnum': 1102, 'title': 'a five-stage solid fuel sounding rocket system .'}
{'docnum': 1103, 'title': 'pressures, densities and temperatures in the upper atmosphere .'}
{'docnum': 1104, 'title': 'aerodynamic heating of blunt nose shapes at mach numbers up to 14 .'}
{'docnum': 1105, 'title': 'numerical solutions for supersonic flow of an idealgas around blunt two-dimensional bodies .'}
{'docnum': 1106, 'title': 'free-flight observation of a separated turbulent flowincluding heat transfer up to mach 8. 5.'}
{'docnum': 1107, 'title': 'the flow field over blunted flat plates and its effecton turbulent boundary growth and heat transfer at amach number of 4. 7.'}
{'docnum': 1108, 'title': 'a study of second-order supersonic flow theory .'}
{'docnum': 1109, 'title': 'unsteady laminar compressible boundary layers on aninfinite plate with suction or injection .'}
{'docnum': 1110, 'title': 'on supersonic flow past a slightly yawing cone .'}
{'docnum': 1111, 'title': 'some research on high speed flutter .'}
{'docnum': 1112, 'title': 'unsteady aerodynamic forces on a slender body of revolutionin supersonic flow .'}
{'docnum': 1113, 'title': 'an electronic apparatus for automatic recording ofthe logarithmic decrement and frequency for oscillationsin the audio and subaudio frequency range .'}
{'docnum': 1114, 'title': 'steady and fluctuating pressures at transonic speedson two space-vehicle payload shapes .'}
{'docnum': 1115, 'title': 'measurements of aerodynamic forces for various meanangles of attack on an airfoil oscillating in pitchand on two finite-span wings oscillating in bendingwith emphasis on damping in the stall .'}
{'docnum': 1116, 'title': 'general instability of stiffened cylinders .'}
{'docnum': 1117, 'title': 'stability of orthotropic cylindrical shells under combinedloading .'}
{'docnum': 1118, 'title': 'elastic stability of orthotropic shells .'}
{'docnum': 1119, 'title': 'plastic stability theory of thin shells .'}
{'docnum': 1120, 'title': 'a unified theory of plastic buckling of columns andplates .'}
{'docnum': 1121, 'title': 'compressive and torsional buckling of thin-wall cylindersin the yield region .'}
{'docnum': 1122, 'title': 'on the role of initial imperfections in plastic bucklingof cylinders under axial compression'}
{'docnum': 1123, 'title': "an extension of donnell's equation for a circular cylindrical shell ."}
{'docnum': 1124, 'title': 'design of missile bodies for minimum drag at very highspeeds - thickness ratio, lift, and center of pressuregiven .'}
{'docnum': 1125, 'title': 'collapse by instability of thin cylindrical shellsunder external pressure .'}
{'docnum': 1126, 'title': "an engineer's conceptual approach to the buckling ofcylindrical shell (axial loading) ."}
{'docnum': 1127, 'title': 'the buckling of sandwich type panels .'}
{'docnum': 1128, 'title': 'face wrinkling and core strength in sandwich construction .'}
{'docnum': 1129, 'title': 'general instability of a ring stiffened circular cylindricalshell under hydrostatic pressure .'}
{'docnum': 1130, 'title': 'handbook of structural stability . pt .vi . strengthof stiffened curved plates and shells .'}
{'docnum': 1131, 'title': 'the effect of axial constraint on the instability ofthin conical shells under external pressure .'}
{'docnum': 1132, 'title': 'general instability of ring stiffened cylindrical shellssubject to external hydrostatic pressure - a comparisonof theory and experiment .'}
{'docnum': 1133, 'title': "a simple extension of southwell's method for determining the elasticgeneral instability pressure of ring-stiffened cylinders subjectto external hydrostatic pressure ."}
{'docnum': 1134, 'title': 'torispherical shells - a caution to designers .'}
{'docnum': 1135, 'title': 'limit analysis of symmetrically loaded thin shellsof revolution .'}
{'docnum': 1136, 'title': 'design of thin walled torispherical and toriconicalpressure - vessel heads .'}
{'docnum': 1137, 'title': 'on the theory of thin elastic toroidal shells .'}
{'docnum': 1138, 'title': 'asymptotic solutions of toroidal shell problems .'}
{'docnum': 1139, 'title': 'the effect of entrance velocity on the flow of a rarefiedgas, through a tube .'}
{'docnum': 1140, 'title': 'shock-standoff distance for spherical bodies at highmach numbers .'}
{'docnum': 1141, 'title': 'the wake behind an oscillating vehicle .'}
{'docnum': 1142, 'title': 'effect of wall divergence on sonic flows in solid walltunnels .'}
{'docnum': 1143, 'title': 'a one-foot hypervelocity shock tunnel in which high-enthalpyreal gas flows can be generated with flow times ofabout 180 milliseconds .'}
{'docnum': 1144, 'title': 'slipstream flow around several tilt-wing vtol aircraft modelsoperating near the ground .'}
{'docnum': 1145, 'title': 'buckling of core-stabilized cylinders under axisymmetric externalloads .'}
{'docnum': 1146, 'title': 'thermal buckling of cylinders .'}
{'docnum': 1147, 'title': 'heat transfer to bodies traveling at high speed in the upperatmosphere .'}
{'docnum': 1148, 'title': 'knudsen flow through a circular capillary .'}
{'docnum': 1149, 'title': 'similar temperature boundary layers .'}
{'docnum': 1150, 'title': 'preliminary results of density measurements from an air force satellite.'}
{'docnum': 1151, 'title': 'experiments on supersonic blunt-body flows .'}
{'docnum': 1152, 'title': 'on periodically oscillating wakes in the oseen approximation .'}
{'docnum': 1153, 'title': 'a study of the simulation of flow with free stream mach number 1 in achoked wind tunnel .'}
{'docnum': 1154, 'title': 'on the influence of wall boundary layers in closed transonic test sections.'}
{'docnum': 1155, 'title': 'some experimental investigations on the influence of wall boundarylayers upon wind tunnel measurements at high subsonic speeds .'}
{'docnum': 1156, 'title': 'experimental investigation of attenuation of strongshock waves in a shock tube with hydrogen and heliumas driver gases .'}
{'docnum': 1157, 'title': 'hypersonic shock tunnel .'}
{'docnum': 1158, 'title': 'the tailored-interface hypersonic shock tunnel .'}
{'docnum': 1159, 'title': 'experimental investigation of the effect of yaw onrates of heat transfer to transverse circularcylinders in a 6500-foot-per-secondhypersonic air stream .'}
{'docnum': 1160, 'title': 'recent advances in gaseous detonation .'}
{'docnum': 1161, 'title': 'stagnation point heat transfer measurements in dissociatedair .'}
{'docnum': 1162, 'title': 'force-test investigation of the stability and controlcharacteristics of a 1/8 scale model of a tilt-wingvertical take-off and landing airplane .'}
{'docnum': 1163, 'title': 'force-test investigation of the stability and controlcharacteristics of a scale model of a tilt-wing verticaltake-off and landing aircraft .'}
{'docnum': 1164, 'title': 'effect of ground proximity on the aerodynamic characteristicsof a four- engined vertical take-off and landing transportairplane model with tilting wing and propellers .'}
{'docnum': 1165, 'title': 'an investigation of the effect of downwash from a vtolaircraft and a helicopter in the ground environment .'}
{'docnum': 1166, 'title': 'an investigation to determine conditions under whichdownwash from vtol aircraft will start surface erosionfrom various types of terrain .'}
{'docnum': 1167, 'title': 'an experimental study of the effect of downwash froma twin-propeller vtol aircraft on several types ofground surfaces .'}
{'docnum': 1168, 'title': 'damage incurred on a tilt-wing multipropeller vtol/stolaircraft operating over a level, gravel-covered surface .'}
{'docnum': 1169, 'title': 'hangling qualities experience with several vtol researchaircraft .'}
{'docnum': 1170, 'title': 'structural loads surveys on two tilt-wing vtol configurations .'}
{'docnum': 1171, 'title': 'the stability under axial compression and lateral pressureof circular cylindrical shells with a soft elasticcore .'}
{'docnum': 1172, 'title': 'elastic stability of circular cylindrical shells stabilizedby a soft elastic core .'}
{'docnum': 1173, 'title': 'the buckling of cylindrical shells under longitudinally varying loads .'}
{'docnum': 1174, 'title': 'general theory of buckling .'}
{'docnum': 1175, 'title': 'stresses from local loadings in cylindrical pressurevessels .'}
{'docnum': 1176, 'title': 'bending tests of ring-stiffened circular cylinders .'}
{'docnum': 1177, 'title': 'effects of rapid heating on strength of airframe components .'}
{'docnum': 1178, 'title': 'buckling of ring-stiffened cylinders under a pure bendingmoment and a nonuniform temperature distribution .'}
{'docnum': 1179, 'title': 'a theory of asymmetric hypersonic blunt-body flows .'}
{'docnum': 1180, 'title': 'approximate analysis of the slot injection of a gasin laminar flow .'}
{'docnum': 1181, 'title': 'steady magnetohydrodynamic flow past a non-conductingwedge .'}
{'docnum': 1182, 'title': 'an approximate solution for laminar boundary layer flow .'}
{'docnum': 1183, 'title': 'laminar hypersonic trail in the expansion-conductionregion .'}
{'docnum': 1184, 'title': 'three dimensional effects in viscous wakes .'}
{'docnum': 1185, 'title': 'an integral method for calculating heat and mass transferin laminar boundary layers .'}
{'docnum': 1186, 'title': 'lift of slender delta wings according to newtoniantheory .'}
{'docnum': 1187, 'title': 'shock-induced boundary layer separation in overexpanded conical exhaustnozzles .'}
{'docnum': 1188, 'title': 'factors affecting lift-drag ratios at mach numbersfrom 5 to 20 .'}
{'docnum': 1189, 'title': 'nonequilibrium flow past a wedge .'}
{'docnum': 1190, 'title': 'flow of a gas near a solid surface .'}
{'docnum': 1191, 'title': 'heat transfer to a hemisphere-cylinder at low reynoldsnumbers .'}
{'docnum': 1192, 'title': 'an integral method for calculation of supersonic laminarboundary layer with heat transfer on yawed cone .'}
{'docnum': 1193, 'title': 'some exact solutions for cavitating curvilinear bodies .'}
{'docnum': 1194, 'title': 'magnetohydrodynamic flow past a thin airfoil .'}
{'docnum': 1195, 'title': 'experiments with two-dimensional, transversely impinging'}
{'docnum': 1196, 'title': 'growth of the turbulent wake behind a supersonic sphere .'}
{'docnum': 1197, 'title': 'unsteady aerodynamic forces on slender supersonic aircraftwith flexible wings and bodies .'}
{'docnum': 1198, 'title': 'the blunt-leading-edge problem in hypersonic flow .'}
{'docnum': 1199, 'title': 'theoretical investigations of a supersonic laminarboundary layer with foreign-gas injection .'}
{'docnum': 1200, 'title': 'hypersonic viscous flow over a sweat-cooled flat plate .'}
{'docnum': 1201, 'title': 'a study of slender shapes of minimum drag using thenewton-busemann pressure coefficient law .'}
{'docnum': 1202, 'title': 'uniformly valid second-order solution for supersonicflow over cruciform surfaces .'}
{'docnum': 1203, 'title': 'the propagation of a nonuniform magnetohydrodynamicshock wave into a moving monatomic fluid .'}
{'docnum': 1204, 'title': 'experimental effect of bluntness and gas rarefactionon drag coefficients and stagnation heat transfer onaxisymmetric shapes in hypersonic flow .'}
{'docnum': 1205, 'title': 'effects of cooling on boundary layer transition ona hemi- sphere in simulated hypersonic flow .'}
{'docnum': 1206, 'title': 'magnetohydrodynamic mach cones .'}
{'docnum': 1207, 'title': 'supersonic airfoil performance with small heat addition .'}
{'docnum': 1208, 'title': 'a linearized analysis of the forces exerted on a rigidwing by a shock wave .'}
{'docnum': 1209, 'title': 'aerodynamic processes in the downwash-impingement problem .'}
{'docnum': 1210, 'title': 'on slender airfoil theory for nonequilibrium flow .'}
{'docnum': 1211, 'title': 'boundary layer transition at supersonic speedsthree-dimensionalroughness effects (spheres).'}
{'docnum': 1212, 'title': 'effect of uniformly distributed roughness on turbulentskin-friction drag at supersonic speeds .'}
{'docnum': 1213, 'title': 'heat transfer to slender cones in hypersonic flow,including effects of yaw and nose bluntness .'}
{'docnum': 1214, 'title': 'the drag of elongated bodies over a wide reynolds numberrange .'}
{'docnum': 1215, 'title': 'the effect of slip particularly for highly cooled walls .'}
{'docnum': 1216, 'title': 'pressure distribution in regions of step-induced turbulentseparation .'}
{'docnum': 1217, 'title': 'application of inequality constraints to variationalproblems of lifting re-entry .'}
{'docnum': 1218, 'title': 'experimental lift and drag of a series of glide configurationsat mach numbers 12 .6 and 17 .5.'}
{'docnum': 1219, 'title': 'determination of lift or drag programs to minimizere-entry heating .'}
{'docnum': 1220, 'title': 'boundary layer transition in the presence of streamwisevortices .'}
{'docnum': 1221, 'title': 'steady flow of conducting fluids in channels undertransverse magnetic fields, with consideration of halleffect .'}
{'docnum': 1222, 'title': 'axisymmetric magnetohydrodynamic channel flow .'}
{'docnum': 1223, 'title': 'inviscid-incompressible-flow theory of static two-dimensionalsolid jets, in proximity to the ground .'}
{'docnum': 1224, 'title': 'on the plk method and the supersonic blunt-body problem .'}
{'docnum': 1225, 'title': 'the effect of adverse pressure gradients on the characteristics ofturbulent boundary layers in supersonic streams .'}
{'docnum': 1226, 'title': 'heat transfer in the laminar boundary layer with ablationof vapor of arbitrary molecular weight .'}
{'docnum': 1227, 'title': 'pressure-gradient effects on the preston tube in supersonicflow .'}
{'docnum': 1228, 'title': 'leading-edge separation of laminar boundary layersin supersonic flow .'}
{'docnum': 1229, 'title': 'the effect of sweep angle on hypersonic flow over bluntwings .'}
{'docnum': 1230, 'title': 'hypersonic nozzle expansion of air with atom recombinationpresent .'}
{'docnum': 1231, 'title': 'hypersonic flow over an elliptic cone: theory and experiment .'}
{'docnum': 1232, 'title': 'the curtain jet .'}
{'docnum': 1233, 'title': 'supersonic shear flow past an airfoil between two parallelwalls .'}
{'docnum': 1234, 'title': 'direct calculation of pressure distribution on blunthypersonic nose shapes with sharp corners .'}
{'docnum': 1235, 'title': 'a theory of the two dimensional laminar bounary layerover a curved surface .'}
{'docnum': 1236, 'title': 'the stagnation point boundary layer in the presenceof an applied magnetic field .'}
{'docnum': 1237, 'title': 'foreign-gas injection into a compressible turbulentboundary layer on a flat plate .'}
{'docnum': 1238, 'title': 'the newtonian approximation in magnetic hypersonicstagnation-point flow .'}
{'docnum': 1239, 'title': 'body under lifting wing .'}
{'docnum': 1240, 'title': 'nonsimilar solutions of the compressible laminar boundarylayer equations with applications to the upstream-transpirationcooling problem .'}
